HV-Mode Off
T-Waveform SineWave+LinRamp
T-Amplitude[K] 0.5
T-Frequency[Hz] 0.01
T-Offset[K] 273.15
Heating-Rate[K/s] 0.0027777
Cooling-Rate[K/s] 0.0111111
T-Limit-High[K] 432.15
T-Limit-Low[K] 273.15
188.727718 273.530114996669 273.375991780763
189.7189162 273.542628259253 273.405135157388
190.743121 273.556316132613 273.431152901161
191.6252974 273.569981030575 273.465262314722
192.7445212 273.590852093609 273.494858152019
193.6877095 273.610395161334 273.525550676486
194.6438051 273.628963355398 273.562788198136
195.7799187 273.65162866645 273.595656113114
196.7660173 273.673633893545 273.629012900601
197.7551162 273.695733949352 273.662641083259
198.7442151 273.719241647474 273.696387237955
199.7323139 273.741986895581 273.726680536043
200.6184025 273.761981241435 273.764265353573
201.7205127 273.792381165067 273.796397083003
202.6686075 273.818348889187 273.82843311237
203.6227029 273.84322404195 273.865551328688
204.743815 273.869289405972 273.897796050349
205.7359142 273.894477158151 273.929261555535
206.7250131 273.920289552314 273.959904817679
207.7131119 273.946414373079 273.989680133009
208.7022108 273.972754375061 274.020447435079
209.7613167 273.998431723643 274.047814524749
210.7424148 274.022018304684 274.074229144544
211.7325138 274.043555023779 274.09931877735
212.7216127 274.067085613714 274.122954734505
213.7077113 274.090496076999 274.145200121566
214.6968102 274.111682596346 274.165945864682
215.6879093 274.130916426269 274.185020309889
216.6760081 274.14940813566 274.202459209157
217.6661071 274.167393179599 274.219312947684
218.7332138 274.185631703765 274.233082881188
219.7223127 274.201446523867 274.245027489235
220.7114116 274.216365605458 274.255129747658
221.7025107 274.228471890895 274.263320514415
222.6916096 274.239173064267 274.269595672693
223.6797084 274.248586848692 274.273943987515
224.665807 274.257432451406 274.276379867292
225.655906 274.264599044641 274.276901952064
226.6010005 274.269344361516 274.275336992955
227.6871091 274.273170821989 274.271914818792
228.676208 274.274870334919 274.266556635347
229.6743078 274.274734680994 274.259382259943
230.6644068 274.273111953334 274.250404686356
231.6535057 274.270690660828 274.239604163143
232.6476051 274.266160340181 274.227141665974
233.636704 274.259912602847 274.213010922063
234.626803 274.252961016819 274.197238995173
235.6199023 274.243293831278 274.178644810103
236.6840087 274.232106344451 274.159871660556
237.6731076 274.22023295747 274.139685363662
238.6652068 274.206954470157 274.118363243694
240.6404043 274.176648079376 274.072135902711
241.6315034 274.158918928255 274.047540137148
242.6206023 274.140601206511 274.022159426579
243.6067009 274.121564394707 273.99105099647
244.777818 274.098952241315 273.964696264933
245.7449147 274.077356304291 273.938161640809
246.7010103 274.05552504565 273.911680268787
247.6421044 274.034630641191 273.879376980959
248.778218 274.008310631886 273.852377037785
249.7223124 273.983260233685 273.824974438951
250.6794081 273.958831923277 273.798275483583
251.6145016 273.939463431242 273.766222663874
252.7456147 273.91177497221 273.739738216462
253.6917093 273.889146306519 273.713577869543
254.6408042 273.861284234025 273.683342308259
255.7619163 273.833870246486 273.65858131151
256.7050106 273.809737317707 273.634462813353
257.6511052 273.787810538679 273.611088618254
258.6002001 273.765436055264 273.5843647052
259.7343135 273.741070736142 273.563048928501
260.6864087 273.717698517931 273.542845996932
261.6385039 273.696396748531 273.520308129755
262.7746175 273.673301216642 273.502914573744
263.7217122 273.652880035568 273.486654280994
264.6818082 273.634818396931 273.471843903954
265.6419042 273.617754868841 273.456278110761
266.7780178 273.600417614028 273.44503514708
267.7211121 273.58434970472 273.435226124111
268.6792079 273.569766076697 273.427049500855
269.6423042 273.556784423147 273.419687851698
270.7674167 273.544660069447 273.415360961998
271.7135113 273.534859283416 273.412755586926
272.6636063 273.52562405175 273.41191248652
273.6167016 273.5175608374 273.413250373067
274.7568156 273.512601624661 273.416299208167
275.70091 273.51000686919 273.420913583138
276.6130012 273.506941273081 273.42887074842
277.7401139 273.505633661563 273.437437810725
278.6842083 273.507253462208 273.447952935438
279.6483047 273.510963908945 273.462470711446
280.7754174 273.515784936853 273.476750741393
281.7395138 273.520723682756 273.492598568233
282.6976096 273.528689664786 273.51008811149
283.6577056 273.538997105283 273.529092816798
284.6158014 273.548877231023 273.553734962038
285.7599158 273.561723228897 273.576642437612
286.7480146 273.575116896944 273.600975046313
287.7361134 273.591125905615 273.626676242273
288.7252123 273.608793224338 273.650881088764
289.6153013 273.624490192384 273.682826577017
290.7404138 273.647861766704 273.710637621243
291.682508 273.669708308179 273.739940711983
292.6446042 273.691107154067 273.769868061778
293.6006998 273.714261666436 273.806404849632
294.7388136 273.740249263784 273.839102311392
295.7359133 273.764537803329 273.872017305504
296.7240121 273.790466926612 273.905393815607
297.7141111 273.816844101862 273.935536501627
298.6011998 273.839610479597 273.973815279427
300.6664063 273.902364684233 274.044109750573
301.7815178 273.934913080146 274.07770963297
302.773617 273.961897928879 274.111039394195
303.7677164 273.990853648039 274.143649383792
304.753815 274.019576717375 274.175726902347
305.7409137 274.049316087389 274.207408669983
306.7370133 274.078213689539 274.234888296943
307.6221018 274.100981826271 274.268840934376
308.7492145 274.13569994666 274.296335874957
309.6953091 274.165655329285 274.322984709462
310.6474043 274.191567051598 274.348733815588
311.6075003 274.216268345835 274.377606785963
312.7426138 274.24315817862 274.401398227854
313.7367132 274.267780505004 274.423577823861
314.724812 274.291430392646 274.444258756605
315.714911 274.314315143715 274.461511686957
316.6070002 274.331753320465 274.481297503834
317.7301125 274.357725185265 274.496174781677
318.6722067 274.377917699264 274.509635162968
319.6293024 274.395709428618 274.52341844952
320.7674162 274.410237746597 274.533441602044
321.7615156 274.425352280348 274.541497310414
322.7476142 274.439939597205 274.547653394159
323.7337128 274.452535574515 274.551903398356
324.7218116 274.462300624764 274.554079537205
325.6099004 274.469623791038 274.554632245571
326.6870081 274.476967450454 274.553229638481
327.6371031 274.482570553008 274.549252138244
328.7722166 274.486983418748 274.543776346099
329.7603154 274.48911306367 274.536451167245
330.7494143 274.489504693231 274.527309958638
331.7395133 274.487139558534 274.516440862052
332.726612 274.48471811282 274.503884804883
333.7127106 274.480520261778 274.488545398933
334.7738167 274.473939372855 274.472559363902
335.7659159 274.465541143082 274.455113904264
336.7550148 274.456090919822 274.436260773703
337.7431136 274.445056307386 274.415981933872
338.7352128 274.43320264993 274.394529621151
339.7233116 274.419690401369 274.372035146895
340.7064099 274.405315619193 274.348269112166
341.6985091 274.388931615925 274.323636867372
342.6866079 274.372138158923 274.296209841359
343.7487141 274.352375686606 274.26987216891
344.7388131 274.333608995528 274.242934139717
345.727912 274.313398829267 274.215540069557
346.7150107 274.293245093236 274.187695333016
347.7041096 274.271023396482 274.159487470768
348.6962088 274.248684109245 274.131206585195
349.6853077 274.225602722924 274.10283030534
350.6764068 274.202913090474 274.075419010121
351.6365028 274.180162183739 274.045063575238
